NTA,Average Savings,Total Jobs Created,Number of Listed Businesses
Battery Park City-Lower Manhattan,469890.8,0.0,9
Bushwick South,26140.46,10.0,10
Carroll Gardens-Columbia Street-Red Hook,24337.39,0.0,11
College Point,17159.37,2.0,7
Crown Heights North,4036.3,0.0,9
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,59950.34,0.0,10
East New York,48433.09,15.0,9
East Williamsburg,13990.63,0.0,11
Greenpoint,9753.65,0.0,14
Hunters Point-Sunnyside-West Maspeth,23931.4,0.0,75
Hunts Point,39246.02,12.0,13
Manhattanville,2760.89,0.0,9
Maspeth,6658.28,10.0,9
Mott Haven-Port Morris,17843.94,10.0,14
Queensbridge-Ravenswood-Long Island City,61830.77,0.0,16
SoHo-TriBeCa-Civic Center-Little Italy,37214.02,0.0,5
Springfield Gardens South-Brookville,17757.66,0.0,5
Steinway,11227.16,20.0,7
Sunset Park West,14316.98,0.0,48
park-cemetery-etc-Brooklyn,14327.42,0.0,15
